RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
3250,San Bernardino,California,11,270100,255100,241200,232700,2.22E+05,2.13E+05,197600,190900,182400,1.77E+05,167200,158800,152200,142400,136100,132900,1.33E+05,1.35E+05,134900,139200,143100,1.48E+05,149600,1.50E+05,148900,1.48E+05,147700,150500,151500,152900,150100,150100,149200,150200,151500,152400,1.52E+05,148400,145400,144200,145900,147900,146900,146900,146900,147200,147400,145600,146900,147100,1.50E+05,152900,155900,159600,160200,162600,167700,173500,1.77E+05,175500,178600,182300,189800,195200,198100,201600,204700,214500,2.15E+05,2.20E+05,218800,224400,223700,225900,227100,231100,231200,231500,224800,228800,231900,240400,240400,241900,245900,248300,248200,247800,250800,257100,253100,251400,250600,257800,260900,262900,265800,266200,266900,265900,269400,268800,271800,273200,2.79E+05,281900,284100,287500,292600,2.97E+05,300600,306200,306800,3.06E+05,3.01E+05,305700,307600,307900
445,Clark,Nevada,12,245600,239300,235600,229600,220200,209400,195900,188500,178700,170300,161700,153200,147100,136500,130600,126300,124900,122200,120200,121800,124100,124700,125200,123300,123900,124600,128600,131200,128700,126800,1.23E+05,123100,121900,119800,1.19E+05,116400,114900,112600,112600,1.13E+05,111200,108300,106100,107700,110200,110500,110600,108400,110700,112400,1.17E+05,121100,122900,124700,125100,129600,133300,136900,139400,140100,143900,147900,1.54E+05,160100,162900,165400,164100,1.66E+05,167300,169100,169900,169900,172700,174500,177100,170900,1.70E+05,172700,180400,183700,183700,184300,185400,188300,189200,190500,190200,191300,193100,194200,195500,194800,196100,197100,201300,202600,204100,202700,204800,206100,207200,2.06E+05,2.06E+05,208100,212400,212600,215700,213800,219100,219400,225500,233900,240400,244900,2.46E+05,246200,244300,
207,King,Washington,13,394100,390600,385400,379100,368300,3.67E+05,3.64E+05,362300,3.56E+05,358400,363800,363500,355100,343100,337300,334300,332800,335600,339600,342500,3.41E+05,348300,362900,3.72E+05,369700,355400,346700,341700,353300,3.61E+05,365800,357300,3.56E+05,358400,361900,360500,350400,342100,332400,326700,321100,322400,327400,3.21E+05,319200,317100,331800,330300,3.33E+05,335700,341900,347200,344100,349100,351900,3.57E+05,366300,369100,370100,368300,371100,373900,377400,376800,381900,3.83E+05,387700,386100,385200,382500,3.86E+05,3.87E+05,387300,382200,381100,384600,392500,392900,395100,393900,396300,395900,397100,402200,404400,411900,411900,414700,408100,414100,414500,420600,4.21E+05,430600,436400,438400,440100,442700,448700,452600,452100,452900,452600,458800,467100,472500,479900,478800,486700,498900,516500,528400,538400,545800,549800,550800,552800,562600
3136,Santa Clara,California,14,6.65E+05,641100,620600,609400,602600,589300,565500,534800,4.97E+05,472600,454800,444400,4.21E+05,404500,399100,4.11E+05,439300,464200,478500,485400,493200,509300,510400,504900,500800,497900,503300,507400,518300,525800,530800,531900,529300,523200,512300,493400,482200,477900,487200,500500,505100,513800,509700,504300,495500,492100,492100,484600,482300,491600,511500,5.36E+05,559300,584400,594900,605200,605100,613300,621400,626800,629100,633300,644100,652400,657100,661500,666200,669500,669500,6.72E+05,680200,689200,699100,704900,708800,712300,708700,719400,725600,739200,742500,751300,749300,7.59E+05,763100,772600,780200,791200,806800,826400,829900,835400,828900,842500,841300,846500,843400,850900,852900,851800,856100,855800,863600,870900,880900,884500,8.82E+05,890800,904500,911700,913500,923300,937300,958400,982500,1022100,1049700,1099300
1561,Broward,Florida,15,233300,220400,2.13E+05,205600,204700,204500,193700,188400,176500,171300,160300,151300,142700,133500,123500,115500,113900,1.16E+05,117700,118200,122500,126900,124500,1.19E+05,116500,113800,114700,112700,114700,113500,111500,1.11E+05,113400,114800,110900,105200,101700,100700,99500,102700,1.06E+05,107500,106200,107100,111400,114800,118700,117800,118200,116200,117700,1.19E+05,120500,122400,123700,127700,129700,136800,139600,144200,141500,142800,143400,146600,149700,1.53E+05,156500,159500,161400,162300,1.63E+05,162600,163800,161600,161500,161500,165100,166500,169300,170700,175600,178500,179200,179600,181100,186500,189400,192300,193900,197100,194700,193600,190500,193600,197900,202700,208100,210900,214500,215500,2.14E+05,212700,214500,218300,221200,220700,220700,221300,224300,227100,225800,226200,2.24E+05,229300,,,,
386,Bexar,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168800,168600,168100,169200,168800,170200,1.70E+05,173100,174900,176700,175900,176200,178100,179500,1.79E+05,177200,177600,176200,1.78E+05,177300,179300,179400,181300,181600,1.82E+05,182500,186700,192600,195300,195900,194400,191700,191300,186500,186400,184100,187900,190200,190500,189200,188100,190200,
2452,New York,New York,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11E+05,800600,782300,802900,838400,859900,855500,820600,822500,839300,8.51E+05,829600,783700,745300,757400,782200,822300,841500,864400,868700,850700,868700,863600,893100,838100,831900,781800,813500,824300,8.42E+05,835600,833900,836600,850700,8.60E+05,863600,8.58E+05,8.71E+05,8.88E+05,895100,883300,896300,905800,915800,914600,903600,902100,909600,901300,909300,933400,961800,9.67E+05,955300,9.68E+05,969600,989700,1002600,1087200,1119300,1129200,1055100,1108900,1164200,1178100,1102600,1089700,1097700,1096900,1055600,1053300,1062800,1000800,9.64E+05,929100,982600,1013800,1050100,1110100,1117200,1062100,969400,888200,836100,
3175,Philadelphia,Pennsylvania,18,109700,111400,110900,109900,108700,112300,113700,113800,111600,109900,106300,101500,99200,108200,110300,113700,109100,116100,120400,122900,127400,127200,123900,115200,115200,118900,120700,119300,115400,106800,1.04E+05,99100,107400,103600,106100,105300,1.08E+05,111100,108300,109900,1.06E+05,107500,105400,104600,100700,102900,102800,102600,9.90E+04,101700,105800,106300,107800,109900,110800,107600,107500,111700,114400,113600,1.09E+05,109900,109400,113300,115900,117200,116600,117100,1.17E+05,121100,120900,124900,126700,127300,126300,123400,1.21E+05,120700,118200,120200,118600,121200,120100,116300,1.18E+05,121300,124600,126300,126200,126600,126300,127600,128300,124100,126500,1.26E+05,126900,122300,1.23E+05,122700,125200,125400,129400,125800,128300,129800,131600,136300,136700,142400,141200,143700,143800,146200,146300,146100,148600,
1510,Alameda,California,19,537300,513800,471100,4.42E+05,4.33E+05,422400,407500,385600,366300,352400,341100,338600,321800,312600,304400,314800,324300,330200,347100,363100,376300,379400,378900,383800,383800,377800,380200,378800,383500,377200,377200,377700,378300,374500,363200,362900,358300,354300,341700,333700,337400,3.37E+05,343400,3.43E+05,346400,345500,344300,346400,339500,341100,336100,350400,367700,3.86E+05,395100,3.99E+05,407100,418700,430800,437100,443600,449300,458600,470400,485400,494700,504200,509500,514800,518300,522500,532900,536600,539700,538100,541600,547300,562300,563400,561500,559700,565900,574300,579900,603300,620600,625300,613200,608100,612700,618600,624800,627700,645600,655600,679600,669900,668600,654200,656300,652600,648200,651300,657900,678600,686800,707100,733300,755300,756200,7.23E+05,716900,713700,724100,7.23E+05,735900,749100,
2801,Middlesex,Massachusetts,20,368800,357200,350500,350800,347600,350900,349900,347100,335100,329600,333700,348900,342700,338600,326600,333100,334800,336400,342300,337600,335500,341700,356400,367500,361200,356100,351800,355700,359300,369500,376900,370200,360600,351900,3.59E+05,364300,3.57E+05,346200,341500,351100,355500,358300,361700,357700,352700,339700,349700,356600,362900,360500,360600,368100,367500,367700,366700,367400,365100,359900,366100,371400,375500,376300,376400,380200,378500,384400,388500,3.94E+05,390900,388300,392800,394100,395700,392400,399300,4.01E+05,403300,398300,399900,399600,401400,401200,413100,420700,422900,412900,410400,410600,413600,413500,414300,415300,4.16E+05,419600,422100,426200,423300,426600,426800,434300,436500,439100,440900,432100,434300,434700,443500,445900,4.53E+05,462600,467800,462500,455900,459500,467600,470700,466200,
