"","Start_Date","Lecture","Responsive","Guide","Labs","Classroom","Computer","Network","See_Hear","Had_Skills","Learned","Learned_Comment","Details"
"160",5447084204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"161",5447084122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"162",5447083778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"163",5447083478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"164",5447083446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"165",5447083384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"166",5447083295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"167",5447083283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",5447083015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"169",5447082961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"170",5447082925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"171",5446964525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"172",5446963971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"173",5446963821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"174",5446963692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"175",5446963643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"176",5446963587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"177",5446963550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"178",5446963514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"179",5446963502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"180",5446963477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"181",5446963381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"182",5446963321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"183",5446963310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"184",5446963195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"185",5446379690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"186",5446375993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"187",5446375186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"188",5446375181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"189",5446375036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"190",5446374962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"191",5446374835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"192",5446374747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"193",5446374689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"194",5446364572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"195",5446362798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"196",5446341988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"197",5446341955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"198",5446341843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"199",5446341589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"200",5443926281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"201",5443925884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"202",5443925265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"203",5443922705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"204",5443921176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"205",5443920587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"206",5443920403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"207",5443920283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"208",5443920130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"209",5443919754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"210",5443919668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"211",5443916899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"212",5443914160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"213",5440812071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"214",5440811194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"215",5440810995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"216",5440810975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"217",5440810743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"218",5440810709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"219",5440810562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"220",5440810527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"221",5440810484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",5437630837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"223",5437630303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"224",5437630186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"225",5437630184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"226",5437630175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"227",5437630124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"228",5437630103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"229",5437629838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"230",5437629835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"231",5437629783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"232",5437629687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"233",5437629424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"234",5437629390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"235",5437629125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"236",5434503858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"237",5434503656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"238",5434503191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"239",5434502649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"240",5434502271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"241",5434502268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"242",5434502150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"243",5434502060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"244",5434501946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"245",5432301932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"246",5432261314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"247",5431203810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"248",5431203042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"249",5431202764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"250",5431202656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"251",5431202587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"252",5431202506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"253",5431202452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"254",5431202441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"255",5431202411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"256",5431202360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"257",5431202258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"258",5431202249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"259",5431201988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"260",5431200474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"261",5431200164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"262",5431200098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"263",5431199960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"264",5431199825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"265",5431199351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"266",5431199312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"267",5431198498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"268",5428007735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"269",5428006939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"270",5428006879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"271",5428006831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"272",5428006740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"273",5428006726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"274",5428006693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"275",5428006673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"276",5428006583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"277",5428006544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"278",5428006530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"279",5428006462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",5428006335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"281",5428006274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"282",5427563019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"283",5426565665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"284",5424727100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"285",5424724982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"286",5424713450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"287",5424607531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,40
"288",5424607318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"289",5424607303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"290",5424607298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"291",5424607257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"292",5424606987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"293",5424178149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"294",5424174445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"295",5423799618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",5423783032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"297",5423777978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"298",5423776153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"299",5421813567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"300",5421810315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"301",5421809170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"302",5421805925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"303",5421805496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"304",5421799634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"305",5421798116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"306",5421797220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"307",5421796370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"308",5421796334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"309",5421796273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"310",5421796191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"311",5421796171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"312",5421796088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"313",5421795978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"314",5421795841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"315",5421795526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"316",5421791226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"317",5421790858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"318",5421789714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"319",5421765018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",5421764920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
